"State","mormonPop","mormonRate","Pop"
"Utah","2126216","0.6303","3373162"
"California","756507","0.0189","39995077"
"Idaho","462069","0.2440","1893410"
"Arizona","436521","0.0598","7303398"
"Texas","362037","0.0121","29945493"
"Washington","289479","0.0366","7901429"
"Nevada","184703","0.0580","3185426"
"Florida","160266","0.0073","22085563"
"Oregon","153540","0.0356","4318492"
"Colorado","150059","0.0253","5922618"
"Virginia","96496","0.0110","8757467"
"North Carolina","89083","0.0084","10620168"
"Georgia","87411","0.0080","10916760"
"New York","83293","0.0041","20365879"
"Hawaii","75009","0.0509","1474265"
"Missouri","72525","0.0117","6188111"
"New Mexico","69488","0.0326","2129190"
"Wyoming","67729","0.1169","579495"
"Ohio","62623","0.0053","11852036"
"Illinois","56888","0.0044","12808884"
"Pennsylvania","52290","0.0040","13062764"
"Tennessee","52290","0.0074","7023788"
"Montana","50552","0.0458","1103187"
"Oklahoma","49227","0.0123","4000953"
"Indiana","45942","0.0067","6845874"
"Michigan","45074","0.0045","10116069"
"Maryland","43411","0.0069","6257958"
"South Carolina","41358","0.0079","5217037"
"Kansas","38311","0.0130","2954832"
"Alabama","37765","0.0074","5073187"
"Kentucky","35886","0.0079","4539130"
"New Jersey","34173","0.0036","9388414"
"Alaska","33495","0.0454","738023"
"Minnesota","33276","0.0058","5787008"
"Arkansas","32307","0.0107","3030646"
"Iowa","28402","0.0088","3219171"
"Massachusetts","28040","0.0039","7126375"
"Wisconsin","27125","0.0046","5935064"
"Louisiana","25589","0.0055","4682633"
"Nebraska","25098","0.0126","1988536"
"Mississippi","21649","0.0073","2960075"
"West Virginia","17143","0.0096","1781860"
"Connecticut","15946","0.0044","3612314"
"North Dakota","11550","0.0144","800394"
"Maine","10958","0.0080","1369159"
"South Dakota","10610","0.0118","901165"
"New Hampshire","8872","0.0064","1389741"
"Delaware","5634","0.0056","1008350"
"Vermont","4623","0.0072","646545"
"Rhode Island","4259","0.0038","1106341"
